,name,id,nametype,recclass,mass (g),fall,reclat,reclong,GeoLocation,Year,City,Country
5438,Cedar (Texas),5303,Valid,H4,26000.0,Found,29.828059999999997,-96.90861,"(29.82806, -96.90861)",1900.0,brenham,us
17424,La Porte,12401,Valid,"Iron, IIIAB",14540.0,Found,41.6,-86.71667,"(41.6, -86.71667)",1900.0,michigan city,us
297,Felix,10081,Valid,CO3.3,3200.0,Fell,32.53333,-87.16667,"(32.53333, -87.16667)",1900.0,selma,us
37721,Sterling,23723,Valid,Pallasite,679.5,Found,40.6,-103.18333,"(40.6, -103.18333)",1900.0,sterling,us
16379,Hendersonville,11873,Valid,L5,6000.0,Found,35.31667,-81.46667,"(35.31667, -81.46667)",1901.0,shelby,us
31334,Paulding County,18172,Valid,Iron,725.0,Found,34.0,-84.8,"(34.0, -84.8)",1901.0,dallas,us
36731,Saline,23109,Valid,H5,30800.0,Found,39.4,-100.4,"(39.4, -100.4)",1901.0,hays,us
788,Phillips County (stone),18808,Valid,L6,57900.0,Fell,40.0,-99.25,"(40.0, -99.25)",1901.0,kearney,us
3464,Ashfork,2348,Valid,"Iron, IAB-MG",27000.0,Found,35.25,-112.5,"(35.25, -112.5)",1901.0,chino valley,us
38317,Willamette,24269,Valid,"Iron, IIIAB",15500000.0,Found,45.36667,-122.58333,"(45.36667, -122.58333)",1902.0,gladstone,us
85,Bath Furnace,4975,Valid,L6,86000.0,Fell,38.25,-83.75,"(38.25, -83.75)",1902.0,winchester,us
6819,Davis Mountains,6615,Valid,"Iron, IIIAB",689000.0,Found,30.75,-104.25,"(30.75, -104.25)",1903.0,pecos,us
850,Rich Mountain,22597,Valid,L6,668.0,Fell,35.03333,-83.03333,"(35.03333, -83.03333)",1903.0,clemson,us
32058,Providence,18893,Valid,"Iron, IIIAB",6804.0,Found,38.56667,-85.23333000000001,"(38.56667, -85.23333)",1903.0,madison,us
17474,Lancaster County,12454,Valid,Iron,13000.0,Found,40.66667,-96.75,"(40.66667, -96.75)",1903.0,lincoln,us
5105,Billings,5047,Valid,"Iron, IIIAB",24500.0,Found,37.06667,-93.55,"(37.06667, -93.55)",1903.0,republic,us
17368,Knowles,12334,Valid,"Iron, IIIAB",161000.0,Found,36.9,-100.21667,"(36.9, -100.21667)",1903.0,liberal,us
17324,Kansas City (1903),12248,Valid,H5,36000.0,Found,39.1,-94.63333,"(39.1, -94.63333)",1903.0,kansas city,us
635,Modoc (1905),16711,Valid,L6,35000.0,Fell,38.5,-101.1,"(38.5, -101.1)",1905.0,garden city,us
5534,Coon Butte,5436,Valid,L6,2750.0,Found,35.0,-111.0,"(35.0, -111.0)",1905.0,winslow,us
37384,Scott City,23462,Valid,H5,2135.0,Found,38.46667,-100.93333,"(38.46667, -100.93333)",1905.0,garden city,us
123,Blackwell,5068,Valid,L5,2381.0,Fell,36.83333,-97.33333,"(36.83333, -97.33333)",1906.0,ponca city,us
9170,Duchesne,7737,Valid,"Iron, IVA",22700.0,Found,40.38333,-110.86667,"(40.38333, -110.86667)",1906.0,springville,us
486,Kirbyville,12321,Valid,Eucrite-mmict,97.7,Fell,30.75,-95.95,"(30.75, -95.95)",1906.0,huntsville,us
37431,Selma,23486,Valid,H4,140600.0,Found,32.4,-87.0,"(32.4, -87.0)",1906.0,selma,us
11638,Elm Creek,10024,Valid,H4,7000.0,Found,38.5,-96.2,"(38.5, -96.2)",1906.0,emporia,us
31986,Perryville,18795,Valid,"Iron, IIC",17500.0,Found,37.73333,-89.85,"(37.73333, -89.85)",1906.0,jackson,us
37609,Shrewsbury,23581,Valid,"Iron, IAB-sLL",12000.0,Found,39.76667,-76.66667,"(39.76667, -76.66667)",1907.0,york,us
1561,Ainsworth,422,Valid,"Iron, IIAB",80650.0,Found,42.6,-99.8,"(42.6, -99.8)",1907.0,north platte,us
11670,Fairburn,56565,Valid,"Iron, IAB-ung",445.0,Found,43.603,-103.026,"(43.603, -103.026)",1907.0,rapid valley,us
5479,Cleburne,5377,Valid,"Iron, IVA",6800.0,Found,32.31667,-97.41667,"(32.31667, -97.41667)",1907.0,cleburne,us
536,Leighton,12760,Valid,H5,877.0,Fell,34.58333,-87.5,"(34.58333, -87.5)",1907.0,muscle shoals,us
26393,Norfolk,16993,Valid,"Iron, IIIAB",23000.0,Found,36.9,-76.3,"(36.9, -76.3)",1907.0,norfolk,us
15942,Guffey,11441,Valid,"Iron, ungrouped",309000.0,Found,38.76667,-105.51666999999999,"(38.76667, -105.51667)",1907.0,canon city,us
35542,Quinn Canyon,22364,Valid,"Iron, IIIAB",1450000.0,Found,38.08333,-115.53333,"(38.08333, -115.53333)",1908.0,sunrise manor,us
16512,Imperial,12026,Valid,H4,4.0,Found,32.86667,-115.58333,"(32.86667, -115.58333)",1908.0,imperial,us
31101,Palmersville,18078,Valid,H5,9979.0,Found,36.4665,-88.60283000000001,"(36.4665, -88.60283)",1908.0,martin,us
36730,Salina,23108,Valid,Iron,235.0,Found,38.98333,-111.85,"(38.98333, -111.85)",1908.0,payson,us
31994,Pickens County,18815,Valid,H6,400.0,Found,34.5,-84.5,"(34.5, -84.5)",1908.0,canton,us
15948,Gun Creek,11451,Valid,"Iron, ungrouped",22700.0,Found,34.0,-111.0,"(34.0, -111.0)",1909.0,payson,us
124,Blanket,5071,Valid,L6,5100.0,Fell,31.83333,-98.83333,"(31.83333, -98.83333)",1909.0,brownwood,us
16358,Haskell,11849,Valid,L5,36000.0,Found,33.21333,-99.73167,"(33.21333, -99.73167)",1909.0,abilene,us
16480,Huntsman,11988,Valid,H4,14500.0,Found,41.18333,-103.0,"(41.18333, -103.0)",1910.0,sterling,us
30958,Oberlin,17975,Valid,LL5,2500.0,Found,39.8,-100.51666999999999,"(39.8, -100.51667)",1911.0,lexington,us
483,Kilbourn,12308,Valid,H5,772.0,Fell,43.58333,-89.6,"(43.58333, -89.6)",1911.0,portage,us
5648,Cullison,5495,Valid,H4,10000.0,Found,37.61667,-98.91667,"(37.61667, -98.91667)",1911.0,great bend,us
380,Holbrook,11894,Valid,L/LL6,220000.0,Fell,34.9,-110.18333,"(34.9, -110.18333)",1912.0,winslow,us
11702,Floydada,10114,Valid,"Iron, IIIAB",12500.0,Found,33.98333,-101.28333,"(33.98333, -101.28333)",1912.0,plainview,us
5124,Bishop Canyon,5058,Valid,"Iron, IVA",8600.0,Found,38.0,-108.5,"(38.0, -108.5)",1912.0,cortez,us
13031,Gretna,11201,Valid,L5,82000.0,Found,39.93333,-99.21667,"(39.93333, -99.21667)",1912.0,kearney,us
